-5.41E-01,1.02E+00,6.73E-01,-1.85E-02,-1.39E-02,-5.88E-01,8.09E-01,-4.15E-01,8.76E-02,5.10E-02,1.46E-01,1.99E-01,-2.59E-01,-5.06E-02,-6.29E-02,-3.06E-02,-2.88E-02,1.45E-01,-1.19E-01,8.97E-02,-1.31E-01,2.46E-02,-6.17E-01,-1.06E-01,-9.14E-02,-8.95E-02,2.13E-01,-1.24E-01
-0.547,1.01,0.672,-0.0157,-0.0184,-0.693,0.721,-0.134,0.0656,0.0649,0.141,0.247,-0.332,-0.0931,0.1,-0.026,0.0,0.0,0.0,0.0,-0.113,-0.1,-0.659,-0.282,0.0,0.0,0.0
-0.548,1.01,0.672,-0.0156,-0.0185,-0.692,0.722,-0.138,0.065,0.0665,0.141,0.248,-0.332,-0.0935,0.1,-0.0245,0.0,0.0,0.0,0.0,-0.112,-0.1,-0.657,-0.281,0.0,0.0,0.0
-0.549,1.01,0.672,-0.0156,-0.0184,-0.69,0.723,-0.143,0.0646,0.0682,0.141,0.248,-0.332,-0.0938,0.1,-0.0227,0.0,0.0,0.0,0.0,-0.111,-0.1,-0.656,-0.281,0.0,0.0,0.0
-0.55,1.01,0.672,-0.0156,-0.0185,-0.687,0.727,-0.152,0.0639,0.0705,0.141,0.248,-0.331,-0.0942,0.1,-0.0206,0.0,0.0,0.0,0.0,-0.109,-0.1,-0.656,-0.281,0.0,0.0,0.0
-0.551,1.02,0.672,-0.0155,-0.0188,-0.68,0.733,-0.169,0.0622,0.0716,0.139,0.249,-0.331,-0.0942,0.1,-0.02,0.0,0.0,0.0,0.0,-0.107,-0.1,-0.661,-0.282,0.0,0.0,0.0
-0.552,1.02,0.672,-0.0158,-0.0201,-0.67,0.742,-0.19,0.0578,0.071,0.132,0.253,-0.335,-0.0906,0.1,-0.0217,0.0,0.0,0.0,0.0,-0.107,-0.1,-0.674,-0.284,0.0,0.0,0.0
-0.552,1.02,0.672,-0.0174,-0.023,-0.665,0.746,-0.197,0.0464,0.0743,0.139,0.287,-0.367,-0.0751,0.1,-0.0264,-0.00782,0.0,0.0,0.0,-0.105,-0.1,-0.658,-0.277,0.0,0.0,0.0
-0.551,1.02,0.673,-0.02,-0.0256,-0.663,0.748,-0.202,0.0572,0.09,0.198,0.354,-0.401,-0.0536,0.1,-0.0299,-0.0142,0.0,0.0,0.0,-0.101,-0.1,-0.636,-0.274,0.0,0.0,0.0
-0.55,1.02,0.675,-0.0217,-0.0292,-0.673,0.739,-0.181,0.0783,0.114,0.262,0.441,-0.438,-0.0188,0.1,-0.0359,-0.0218,0.0,0.0,0.0,-0.0908,-0.1,-0.603,-0.271,0.0,0.0,0.0
-0.547,1.02,0.676,-0.0251,-0.0328,-0.676,0.736,-0.182,0.0117,0.168,0.225,0.655,-0.509,0.0165,0.1,-0.043,-0.0284,0.0,0.0,0.0,-0.0772,-0.1,-0.572,-0.271,0.0,0.0,0.0
-0.545,1.02,0.677,-0.0274,-0.0339,-0.679,0.733,-0.172,-0.0638,0.214,0.152,0.8,-0.51,-2.1e-05,0.1,-0.0459,-0.0373,0.0,0.0,0.0,-0.0741,-0.1,-0.557,-0.268,0.0,0.0,0.0
-0.54,1.02,0.679,-0.0285,-0.0343,-0.692,0.72,-0.136,-0.115,0.261,0.105,0.895,-0.495,-0.0123,0.1,-0.0528,-0.0446,0.0,0.0,0.0,-0.0698,-0.1,-0.507,-0.263,0.0,0.0,0.0
-0.535,1.02,0.68,-0.0255,-0.0355,-0.735,0.677,0.00593,-0.151,0.321,0.0646,0.908,-0.476,-0.00368,0.1,-0.0647,-0.0661,0.0,0.0,0.0,-0.0499,-0.1,-0.348,-0.247,0.0,0.0,0.0
-0.53,1.02,0.681,-0.0244,-0.036,-0.771,0.636,0.138,-0.151,0.366,0.0533,0.86,-0.45,2.6e-05,0.1,-0.0695,-0.0865,0.0,0.0,0.0,-0.023,-0.1,-0.185,-0.23,0.0,0.0,0.0
-0.525,1.02,0.68,-0.0251,-0.0358,-0.795,0.606,0.24,-0.129,0.404,0.0545,0.773,-0.406,-0.00867,0.1,-0.0716,-0.11,0.0,0.0,0.0,0.00114,-0.1,-0.0308,-0.218,0.0,0.0,0.0
-0.517,1.02,0.678,-0.0281,-0.0342,-0.815,0.578,0.34,-0.0561,0.437,0.0756,0.607,-0.316,-0.0541,0.1,-0.0716,-0.143,0.0,0.0,0.0,0.0326,-0.1,0.171,-0.211,0.0,0.0,0.0
-0.509,1.02,0.676,-0.0322,-0.0327,-0.821,0.569,0.382,0.0141,0.451,0.0855,0.476,-0.226,-0.0965,0.1,-0.0706,-0.165,0.0,0.0,0.0,0.0534,-0.1,0.287,-0.214,0.0,0.0,0.0
-0.501,1.02,0.673,-0.0368,-0.031,-0.822,0.568,0.403,0.0774,0.456,0.0796,0.354,-0.144,-0.144,0.1,-0.072,-0.186,0.0,0.0,0.0,0.0706,-0.1,0.357,-0.221,0.0,0.0,0.0
-0.488,1.02,0.669,-0.0437,-0.0278,-0.815,0.577,0.406,0.159,0.46,0.114,0.272,-0.156,-0.21,0.1,-0.0756,-0.213,0.0,0.0,0.0,0.0866,-0.1,0.384,-0.227,0.0,0.0,0.0
